Location,Variant,Time,AgeGrp,ASFR
China,Medium,1984,10-14,0.125
China,Medium,1984,15-19,27.302
China,Medium,1984,20-24,189.401
China,Medium,1984,25-29,189.213
China,Medium,1984,30-34,67.525
China,Medium,1984,35-39,24.902
China,Medium,1984,40-44,10.415
China,Medium,1984,45-49,2.04
China,Medium,1984,50-54,0.414
China,Medium,1985,10-14,0.127
China,Medium,1985,15-19,28.228
China,Medium,1985,20-24,202.705
China,Medium,1985,25-29,181.514
China,Medium,1985,30-34,68.016
China,Medium,1985,35-39,24.999
China,Medium,1985,40-44,9.986
China,Medium,1985,45-49,1.985
China,Medium,1985,50-54,0.434
China,Medium,1986,10-14,0.129
China,Medium,1986,15-19,28.796
China,Medium,1986,20-24,218.913
China,Medium,1986,25-29,179.516
China,Medium,1986,30-34,71.398
China,Medium,1986,35-39,26.426
China,Medium,1986,40-44,9.944
China,Medium,1986,45-49,2.092
China,Medium,1986,50-54,0.469
China,Medium,1987,10-14,0.13
China,Medium,1987,15-19,29.27
China,Medium,1987,20-24,226.719
China,Medium,1987,25-29,180.713
China,Medium,1987,30-34,76.575
China,Medium,1987,35-39,27.172
China,Medium,1987,40-44,9.013
China,Medium,1987,45-49,2.23
China,Medium,1987,50-54,0.509
China,Medium,1988,10-14,0.13
China,Medium,1988,15-19,27.963
China,Medium,1988,20-24,209.627
China,Medium,1988,25-29,176.51
China,Medium,1988,30-34,67.655
China,Medium,1988,35-39,23.592
China,Medium,1988,40-44,7.859
China,Medium,1988,45-49,1.977
China,Medium,1988,50-54,0.462
China,Medium,1989,10-14,0.126
China,Medium,1989,15-19,28.448
China,Medium,1989,20-24,209.213
China,Medium,1989,25-29,182.667
China,Medium,1989,30-34,61.599
China,Medium,1989,35-39,21.794
China,Medium,1989,40-44,7.342
China,Medium,1989,45-49,1.777
China,Medium,1989,50-54,0.442
China,Medium,1990,10-14,0.121
China,Medium,1990,15-19,30.986
China,Medium,1990,20-24,218.088
China,Medium,1990,25-29,177.896
